5.670e-02,   6.08e-05,   6.08e-05,   6.08e-05,   6.08e-05,   6.08e-05,   6.08e-05
5.760e-02,   6.37e-05,   6.37e-05,   6.37e-05,   6.37e-05,   6.37e-05,   6.37e-05
5.850e-02,   6.67e-05,   6.67e-05,   6.67e-05,   6.67e-05,   6.67e-05,   6.67e-05
5.940e-02,   6.99e-05,   6.99e-05,   6.99e-05,   6.99e-05,   6.99e-05,   6.99e-05
6.030e-02,   7.31e-05,   7.31e-05,   7.31e-05,   7.31e-05,   7.31e-05,   7.31e-05
6.120e-02,   7.64e-05,   7.64e-05,   7.64e-05,   7.64e-05,   7.64e-05,   7.64e-05
6.210e-02,   7.98e-05,   7.98e-05,   7.98e-05,   7.98e-05,   7.98e-05,   7.98e-05
6.300e-02,   8.33e-05,   8.33e-05,   8.33e-05,   8.33e-05,   8.33e-05,   8.33e-05
6.390e-02,   8.70e-05,   8.70e-05,   8.70e-05,   8.70e-05,   8.70e-05,   8.70e-05
6.480e-02,   9.07e-05,   9.07e-05,   9.07e-05,   9.07e-05,   9.07e-05,   9.07e-05
6.570e-02,   9.45e-05,   9.45e-05,   9.45e-05,   9.45e-05,   9.45e-05,   9.45e-05
6.660e-02,   9.85e-05,   9.85e-05,   9.85e-05,   9.85e-05,   9.85e-05,   9.85e-05
6.750e-02,   1.03e-04,   1.03e-04,   1.03e-04,   1.03e-04,   1.03e-04,   1.03e-04
6.840e-02,   1.07e-04,   1.07e-04,   1.07e-04,   1.07e-04,   1.07e-04,   1.07e-04
6.930e-02,   1.11e-04,   1.11e-04,   1.11e-04,   1.11e-04,   1.11e-04,   1.11e-04
7.020e-02,   1.15e-04,   1.15e-04,   1.15e-04,   1.15e-04,   1.15e-04,   1.15e-04
7.110e-02,   1.20e-04,   1.20e-04,   1.20e-04,   1.20e-04,   1.20e-04,   1.20e-04
7.200e-02,   1.24e-04,   1.24e-04,   1.24e-04,   1.24e-04,   1.24e-04,   1.24e-04
7.290e-02,   1.29e-04,   1.29e-04,   1.29e-04,   1.29e-04,   1.29e-04,   1.29e-04
7.380e-02,   1.34e-04,   1.34e-04,   1.34e-04,   1.34e-04,   1.34e-04,   1.34e-04
7.470e-02,   1.39e-04,   1.39e-04,   1.39e-04,   1.39e-04,   1.39e-04,   1.39e-04
7.560e-02,   1.44e-04,   1.44e-04,   1.44e-04,   1.44e-04,   1.44e-04,   1.44e-04
7.650e-02,   1.49e-04,   1.49e-04,   1.49e-04,   1.49e-04,   1.49e-04,   1.49e-04
7.740e-02,   1.55e-04,   1.55e-04,   1.55e-04,   1.55e-04,   1.55e-04,   1.55e-04
7.830e-02,   1.60e-04,   1.60e-04,   1.60e-04,   1.60e-04,   1.60e-04,   1.60e-04
7.920e-02,   1.66e-04,   1.66e-04,   1.66e-04,   1.66e-04,   1.66e-04,   1.66e-04
8.010e-02,   1.71e-04,   1.71e-04,   1.71e-04,   1.71e-04,   1.71e-04,   1.71e-04
8.100e-02,   1.77e-04,   1.77e-04,   1.77e-04,   1.77e-04,   1.77e-04,   1.77e-04
8.190e-02,   1.83e-04,   1.83e-04,   1.83e-04,   1.83e-04,   1.83e-04,   1.83e-04
8.280e-02,   1.89e-04,   1.89e-04,   1.89e-04,   1.89e-04,   1.89e-04,   1.89e-04
8.370e-02,   1.95e-04,   1.95e-04,   1.95e-04,   1.95e-04,   1.95e-04,   1.95e-04
8.460e-02,   2.02e-04,   2.02e-04,   2.02e-04,   2.02e-04,   2.02e-04,   2.02e-04
8.550e-02,   2.08e-04,   2.08e-04,   2.08e-04,   2.08e-04,   2.08e-04,   2.08e-04
8.640e-02,   2.15e-04,   2.15e-04,   2.15e-04,   2.15e-04,   2.15e-04,   2.15e-04
8.730e-02,   2.22e-04,   2.22e-04,   2.22e-04,   2.22e-04,   2.22e-04,   2.22e-04
8.820e-02,   2.29e-04,   2.29e-04,   2.29e-04,   2.29e-04,   2.29e-04,   2.29e-04
8.910e-02,   2.36e-04,   2.36e-04,   2.36e-04,   2.36e-04,   2.36e-04,   2.36e-04
9.000e-02,   2.43e-04,   2.43e-04,   2.43e-04,   2.43e-04,   2.43e-04,   2.43e-04
9.090e-02,   2.50e-04,   2.50e-04,   2.50e-04,   2.50e-04,   2.50e-04,   2.50e-04
9.180e-02,   2.58e-04,   2.58e-04,   2.58e-04,   2.58e-04,   2.58e-04,   2.58e-04
9.270e-02,   2.66e-04,   2.66e-04,   2.66e-04,   2.66e-04,   2.66e-04,   2.66e-04
9.360e-02,   2.73e-04,   2.73e-04,   2.73e-04,   2.73e-04,   2.73e-04,   2.73e-04
9.450e-02,   2.81e-04,   2.81e-04,   2.81e-04,   2.81e-04,   2.81e-04,   2.81e-04
9.540e-02,   2.89e-04,   2.89e-04,   2.89e-04,   2.89e-04,   2.89e-04,   2.89e-04
9.630e-02,   2.98e-04,   2.98e-04,   2.98e-04,   2.98e-04,   2.98e-04,   2.98e-04
9.720e-02,   3.06e-04,   3.06e-04,   3.06e-04,   3.06e-04,   3.06e-04,   3.06e-04
9.810e-02,   3.15e-04,   3.15e-04,   3.15e-04,   3.15e-04,   3.15e-04,   3.15e-04
9.900e-02,   3.23e-04,   3.23e-04,   3.23e-04,   3.23e-04,   3.23e-04,   3.23e-04
9.990e-02,   3.32e-04,   3.32e-04,   3.32e-04,   3.32e-04,   3.32e-04,   3.32e-04
1.008e-01,   3.41e-04,   3.41e-04,   3.41e-04,   3.41e-04,   3.41e-04,   3.41e-04
1.017e-01,   3.51e-04,   3.51e-04,   3.51e-04,   3.51e-04,   3.51e-04,   3.51e-04
1.026e-01,   3.60e-04,   3.60e-04,   3.60e-04,   3.60e-04,   3.60e-04,   3.60e-04
1.035e-01,   3.70e-04,   3.70e-04,   3.70e-04,   3.70e-04,   3.70e-04,   3.70e-04
1.044e-01,   3.79e-04,   3.79e-04,   3.79e-04,   3.79e-04,   3.79e-04,   3.79e-04
1.053e-01,   3.89e-04,   3.89e-04,   3.89e-04,   3.89e-04,   3.89e-04,   3.89e-04
1.062e-01,   3.99e-04,   3.99e-04,   3.99e-04,   3.99e-04,   3.99e-04,   3.99e-04
1.071e-01,   4.09e-04,   4.09e-04,   4.09e-04,   4.09e-04,   4.09e-04,   4.09e-04
1.080e-01,   4.20e-04,   4.20e-04,   4.20e-04,   4.20e-04,   4.20e-04,   4.20e-04
1.089e-01,   4.30e-04,   4.30e-04,   4.30e-04,   4.30e-04,   4.30e-04,   4.30e-04
1.098e-01,   4.41e-04,   4.41e-04,   4.41e-04,   4.41e-04,   4.41e-04,   4.41e-04
1.107e-01,   4.52e-04,   4.52e-04,   4.52e-04,   4.52e-04,   4.52e-04,   4.52e-04
1.116e-01,   4.63e-04,   4.63e-04,   4.63e-04,   4.63e-04,   4.63e-04,   4.63e-04
1.125e-01,   4.75e-04,   4.75e-04,   4.75e-04,   4.75e-04,   4.75e-04,   4.75e-04
1.134e-01,   4.86e-04,   4.86e-04,   4.86e-04,   4.86e-04,   4.86e-04,   4.86e-04
